model_name,enjoy,interest,listen,turing,avoid_rep,make_sense,fluency,persona_guess,inquisitive,reward,enjoy_sp,interest_sp,listen_sp,turing_sp,avoid_rep_sp,make_sense_sp,fluency_sp,persona_guess_sp,inquisitive_sp,reward_sp
inquisitive_model_ct_setting10_better,0.7027777777777777,0.6944444444444444,0.8027777777777778,0.5611111111111111,0.6944444444444444,0.8777777777777778,0.9055555555555556,0.18333333333333326,0.7333333333333333,0.6839506172839506,0.5432704091072083,0.5359392762184143,0.6889057159423828,0.4565368592739105,0.644661545753479,0.7950334548950195,0.8227943778038025,0.1909065842628479,0.5458688139915466,0.58185875415802
greedy_model,0.5752688172043011,0.5994623655913979,0.7043010752688172,0.4435483870967742,0.553763440860215,0.8279569892473119,0.8279569892473119,0.22043010752688166,0.510752688172043,0.5848267622461171,0.580672562122345,0.5972703695297241,0.7412875890731812,0.45796453952789307,0.7239581346511841,0.8737276792526245,0.8629655241966248,0.21902380883693695,0.6095914840698242,0.631176769733429
repetition_model_settinginf,0.7391304347826086,0.7119565217391305,0.8532608695652174,0.595108695652174,0.7092391304347826,0.9266304347826086,0.9211956521739132,0.23369565217391305,0.657608695652174,0.7053140096618357,0.760051965713501,0.746637761592865,0.8406654000282288,0.6299336552619934,0.7255843281745911,0.9205154180526733,0.9272616505622864,0.21068927645683289,0.653215765953064,0.7143542170524597
repetition_model_setting05,0.6520618556701031,0.6778350515463918,0.788659793814433,0.5541237113402062,0.6752577319587629,0.8994845360824743,0.9072164948453608,0.1958762886597938,0.6829896907216495,0.6703894616265751,0.6745231747627258,0.6696975827217102,0.7685070037841797,0.5277121067047119,0.7000327706336975,0.8668350577354431,0.8757322430610657,0.20140701532363892,0.6204654574394226,0.6564894914627075
repetition_model_setting12,0.7268041237113402,0.7164948453608248,0.8092783505154639,0.5850515463917526,0.7087628865979382,0.9046391752577321,0.8943298969072165,0.18041237113402064,0.6546391752577321,0.6867124856815578,0.6588969230651855,0.6504971385002136,0.7264617085456848,0.5155426263809204,0.6452285647392273,0.8056039810180664,0.8139616847038269,0.18401026725769043,0.5807031393051147,0.6209655404090881
inquisitive_model_ct_setting07,0.7835051546391752,0.7654639175257731,0.8402061855670103,0.6391752577319587,0.7268041237113402,0.9020618556701032,0.9432989690721648,0.20618556701030927,0.6829896907216495,0.7210767468499427,0.8745126724243164,0.8571057915687561,0.9730276465415955,0.7064144611358643,0.8507506847381592,1.0715904235839844,1.0872796773910522,0.2448900043964386,0.7645024657249451,0.8270135521888733
interesting_nidf_model_bfw_setting_08,0.6027777777777777,0.65,0.6694444444444444,0.4666666666666667,0.6944444444444444,0.7277777777777777,0.6805555555555556,0.2305555555555556,0.5194444444444445,0.5824074074074074,0.3344022333621979,0.40782907605171204,0.35625216364860535,0.36532485485076904,0.5542202591896057,0.4604458212852478,0.32867541909217834,0.18738391995429993,0.3253828287124634,0.38047221302986145
responsiveness_model_bfw_setting_00,0.7631578947368421,0.7473684210526316,0.8447368421052631,0.6842105263157895,0.7394736842105263,0.9394736842105263,0.9421052631578948,0.2026315789473684,0.6368421052631579,0.7222222222222221,0.7312350869178772,0.7166820168495178,0.7991868257522583,0.6191332936286926,0.6815911531448364,0.8698694705963135,0.8809170126914978,0.19556178152561188,0.6229537725448608,0.6811584830284119
inquisitive_model_ct_setting01,0.734375,0.703125,0.8307291666666666,0.6276041666666666,0.7291666666666666,0.8984375,0.9140625,0.21354166666666666,0.6328125,0.6982060185185186,0.8169793486595154,0.806611180305481,0.8711262345314026,0.6749470233917236,0.7408527135848999,0.9408342242240906,0.9518902897834778,0.21088311076164246,0.6874130368232727,0.7447264194488525
repetition_model_setting35_settinginf,0.7369791666666666,0.7526041666666666,0.8333333333333334,0.640625,0.7291666666666666,0.9244791666666666,0.9296875,0.2265625,0.6770833333333334,0.7167245370370371,0.7027392387390137,0.692193865776062,0.7702146768569946,0.5704620480537415,0.6736913919448853,0.8505473136901855,0.8588694334030151,0.19203026592731476,0.611420750617981,0.6600532531738281
